2021-02-16 13:35:36.710589
{'religious-groups-in-schools=y'} | Support Value=0.6252873563218391
{'education-spending=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3310344827586207
{'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3310344827586207
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.3310344827586207
{'education-spending=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'el-salvador-aid=y', 'crime=y', 'education-spending=y'} | Support Value=0.3310344827586207
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'crime=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3310344827586207
{'adoption-of-the-budget-resolution=y', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'el-salvador-aid=y'} | Support Value=0.3310344827586207
{'el-salvador-aid=y', 'duty-free-exports=n', 'physician-fee-freeze=y'} | Support Value=0.3310344827586207
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3310344827586207
{'religious-groups-in-schools=y', 'Class Name=republican', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.3310344827586207
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'anti-satellite-test-ban=n'} | Support Value=0.3310344827586207
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'religious-groups-in-schools=y', 'crime=y', 'anti-satellite-test-ban=n', 'el-salvador-aid=y'} | Support Value=0.3310344827586207
{'duty-free-exports=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3310344827586207
{'el-salvador-aid=y', 'Class Name=republican', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3310344827586207
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3310344827586207
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3310344827586207
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.32873563218390806
{'duty-free-exports=n', 'el-salvador-aid=y', 'crime=y', 'mx-missile=n'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'mx-missile=y'} | Support Value=0.32873563218390806
{'superfund-right-to-sue=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.32873563218390806
{'synfuels-corporation-cutback=n', 'religious-groups-in-schools=y', 'crime=y'} | Support Value=0.32873563218390806
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n'} | Support Value=0.32873563218390806
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'crime=y', 'duty-free-exports=n'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'anti-satellite-test-ban=n'} | Support Value=0.32873563218390806
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.32873563218390806
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.32873563218390806
{'aid-to-nicaraguan-contras=n', 'physician-fee-freeze=y'} | Support Value=0.32873563218390806
{'adoption-of-the-budget-resolution=n', 'Class Name=republican'} | Support Value=0.3264367816091954
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.3264367816091954
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'crime=n', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3264367816091954
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'crime=y', 'duty-free-exports=n'} | Support Value=0.3264367816091954
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'duty-free-exports=n', 'Class Name=republican'} | Support Value=0.3264367816091954
{'crime=n', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3264367816091954
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3264367816091954
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'crime=n', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'duty-free-exports=n', 'el-salvador-aid=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3264367816091954
{'religious-groups-in-schools=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3264367816091954
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3264367816091954
{'duty-free-exports=n', 'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n'} | Support Value=0.3264367816091954
{'education-spending=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3264367816091954
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3264367816091954
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3264367816091954
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'crime=y'} | Support Value=0.3264367816091954
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3264367816091954
{'el-salvador-aid=y', 'mx-missile=n', 'handicapped-infants=n'} | Support Value=0.3264367816091954
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'duty-free-exports=y'} | Support Value=0.3264367816091954
{'duty-free-exports=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3264367816091954
{'superfund-right-to-sue=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3264367816091954
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'mx-missile=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3264367816091954
{'religious-groups-in-schools=y', 'mx-missile=n', 'handicapped-infants=n'} | Support Value=0.3264367816091954
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3264367816091954
{'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n', 'physician-fee-freeze=y'} | Support Value=0.3264367816091954
{'anti-satellite-test-ban=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3264367816091954
{'synfuels-corporation-cutback=n', 'anti-satellite-test-ban=y'} | Support Value=0.3264367816091954
{'crime=y', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.3264367816091954
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'handicapped-infants=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'handicapped-infants=n', 'physician-fee-freeze=y'} | Support Value=0.3264367816091954
{'education-spending=n', 'handicapped-infants=y'} | Support Value=0.3264367816091954
{'education-spending=n', 'export-administration-act-south-africa=y', 'Class Name=democrat'} | Support Value=0.3264367816091954
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'el-salvador-aid=y'} | Support Value=0.3264367816091954
{'crime=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.32413793103448274
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.32413793103448274
{'crime=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.32413793103448274
{'aid-to-nicaraguan-contras=y', 'export-administration-act-south-africa=y', 'el-salvador-aid=n'} | Support Value=0.32413793103448274
{'physician-fee-freeze=y', 'education-spending=y'} | Support Value=0.32413793103448274
{'duty-free-exports=y', 'el-salvador-aid=n'} | Support Value=0.32413793103448274
{'mx-missile=n', 'education-spending=y'} | Support Value=0.32413793103448274
{'el-salvador-aid=y', 'duty-free-exports=n', 'anti-satellite-test-ban=n'} | Support Value=0.32413793103448274
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} | Support Value=0.32413793103448274
{'education-spending=n', 'duty-free-exports=y'} | Support Value=0.32413793103448274
{'crime=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.32413793103448274
{'crime=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.32413793103448274
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.32413793103448274
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.32413793103448274
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.32413793103448274
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'education-spending=y'} | Support Value=0.32413793103448274
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.32413793103448274
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.32413793103448274
{'crime=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.32413793103448274
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'crime=y', 'mx-missile=n'} | Support Value=0.32413793103448274
{'crime=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.32413793103448274
{'education-spending=n', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'crime=n', 'education-spending=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'crime=n', 'physician-fee-freeze=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3218390804597701
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'mx-missile=y'} | Support Value=0.3218390804597701
{'adoption-of-the-budget-resolution=n', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3218390804597701
{'religious-groups-in-schools=y', 'crime=y', 'Class Name=republican'} | Support Value=0.3218390804597701
{'duty-free-exports=n', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3218390804597701
{'el-salvador-aid=y', 'crime=y', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.3218390804597701
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'duty-free-exports=y'} | Support Value=0.3218390804597701
{'crime=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'crime=n', 'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3218390804597701
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3218390804597701
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3218390804597701
{'crime=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.3218390804597701
{'crime=y', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3218390804597701
{'adoption-of-the-budget-resolution=n', 'duty-free-exports=n'} | Support Value=0.3218390804597701
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3218390804597701
{'adoption-of-the-budget-resolution=y', 'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y'} | Support Value=0.3218390804597701
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n'} | Support Value=0.3218390804597701
{'adoption-of-the-budget-resolution=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3218390804597701
{'superfund-right-to-sue=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3218390804597701
{'crime=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3218390804597701
{'handicapped-infants=y', 'anti-satellite-test-ban=y'} | Support Value=0.3218390804597701
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3218390804597701
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3218390804597701
{'el-salvador-aid=y', 'crime=y', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3195402298850575
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3195402298850575
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n'} | Support Value=0.3195402298850575
{'superfund-right-to-sue=y', 'education-spending=y'} | Support Value=0.3195402298850575
{'adoption-of-the-budget-resolution=n', 'crime=y', 'mx-missile=n'} | Support Value=0.3195402298850575
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3195402298850575
{'superfund-right-to-sue=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3195402298850575
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3195402298850575
{'crime=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3195402298850575
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'handicapped-infants=n'} | Support Value=0.3195402298850575
{'religious-groups-in-schools=y', 'crime=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3195402298850575
{'physician-fee-freeze=n', 'handicapped-infants=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3195402298850575
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.3195402298850575
{'immigration=n', 'Class Name=democrat'} | Support Value=0.3195402298850575
{'duty-free-exports=n', 'el-salvador-aid=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3195402298850575
{'el-salvador-aid=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3195402298850575
{'el-salvador-aid=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3195402298850575
{'crime=n', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3195402298850575
{'religious-groups-in-schools=n', 'anti-satellite-test-ban=y'} | Support Value=0.3195402298850575
{'physician-fee-freeze=n', 'handicapped-infants=y', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3195402298850575
{'education-spending=n', 'mx-missile=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3195402298850575
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n'} | Support Value=0.3195402298850575
{'el-salvador-aid=y', 'duty-free-exports=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31724137931034485
{'crime=n', 'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.31724137931034485
{'superfund-right-to-sue=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31724137931034485
{'education-spending=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31724137931034485
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'physician-fee-freeze=y'} | Support Value=0.31724137931034485
{'handicapped-infants=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31724137931034485
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'duty-free-exports=y'} | Support Value=0.31724137931034485
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.31724137931034485
{'superfund-right-to-sue=n', 'export-administration-act-south-africa=y'} | Support Value=0.31724137931034485
{'superfund-right-to-sue=y', 'synfuels-corporation-cutback=n'} | Support Value=0.31724137931034485
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.31724137931034485
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'mx-missile=n'} | Support Value=0.31724137931034485
{'adoption-of-the-budget-resolution=n', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.31724137931034485
{'crime=y', 'aid-to-nicaraguan-contras=n', 'physician-fee-freeze=y'} | Support Value=0.31724137931034485
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.31724137931034485
{'synfuels-corporation-cutback=n', 'physician-fee-freeze=y'} | Support Value=0.31724137931034485
{'physician-fee-freeze=y', 'el-salvador-aid=y', 'education-spending=y'} | Support Value=0.31724137931034485
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31724137931034485
{'export-administration-act-south-africa=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31724137931034485
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n'} | Support Value=0.31724137931034485
{'anti-satellite-test-ban=n', 'handicapped-infants=n'} | Support Value=0.31724137931034485
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'duty-free-exports=n', 'el-salvador-aid=y'} | Support Value=0.31724137931034485
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'Class Name=republican'} | Support Value=0.31724137931034485
{'synfuels-corporation-cutback=n', 'el-salvador-aid=y', 'crime=y'} | Support Value=0.31724137931034485
{'crime=y', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.31724137931034485
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'anti-satellite-test-ban=n'} | Support Value=0.31724137931034485
{'physician-fee-freeze=n', 'education-spending=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.31724137931034485
{'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.31724137931034485
{'adoption-of-the-budget-resolution=y', 'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.31724137931034485
{'religious-groups-in-schools=y', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.31724137931034485
{'synfuels-corporation-cutback=n', 'Class Name=republican'} | Support Value=0.31724137931034485
{'crime=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.31724137931034485
{'duty-free-exports=n', 'export-administration-act-south-africa=y'} | Support Value=0.31724137931034485
{'aid-to-nicaraguan-contras=y', 'duty-free-exports=y', 'el-salvador-aid=n'} | Support Value=0.31724137931034485
{'religious-groups-in-schools=y', 'water-project-cost-sharing=y'} | Support Value=0.31494252873563217
{'el-salvador-aid=y', 'crime=y', 'aid-to-nicaraguan-contras=n', 'physician-fee-freeze=y'} | Support Value=0.31494252873563217
{'physician-fee-freeze=n', 'education-spending=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} | Support Value=0.31494252873563217
{'handicapped-infants=y', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.31494252873563217
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31494252873563217
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.31494252873563217
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'education-spending=n', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'crime=n', 'mx-missile=y'} | Support Value=0.31494252873563217
{'el-salvador-aid=y', 'handicapped-infants=n', 'physician-fee-freeze=y'} | Support Value=0.31494252873563217
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'education-spending=n', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'education-spending=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.31494252873563217
{'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'el-salvador-aid=y', 'mx-missile=n', 'education-spending=y'} | Support Value=0.31494252873563217
{'crime=n', 'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'duty-free-exports=n', 'mx-missile=n', 'crime=y'} | Support Value=0.31494252873563217
{'education-spending=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'religious-groups-in-schools=n', 'el-salvador-aid=n'} | Support Value=0.31494252873563217
